Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PER016;PERFILADOR  FUNDO FALSO DALTEC PD2-350 P;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81260;M;1000-FABSL-SLPER-PER016;FÁBRICA UENSILOS LINHA PER FUNDO FALSO;MONT;1010;PER016;PER
PER017;PERFILADOR 16 ESTAGIOS;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PER
PER018;PERFILADOR CHAPA DO TELHADO;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PER
PER019;PERFILADOR CHAPA TELHADO;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER023;FÁBRICA UENSILOS LINHA PER CHAPA TELHADO;AEQS;1010;PER023;PER
PER020;PERFILADOR DE MONTANTE AM126;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER020;FÁBRICA UENSILOS LINHA PER MONTANTE 20;MONT;1010;PER020;
PER021;PERFILADOR N40 PER C. LAT 3;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER021;FÁBRICA UENSILOS LINHA PER CHAPA LAT 3;MONT;1010;PER021;
PER022;PERFILADOR FUNDO FALSO AM130/A-01;1000;E;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER022;FÁBRICA UENSILOS LINHA PER FUND FALSO 22;MONT;1010;PER022;
PER026;PRENSA P/ PERFURAR CORREIA;1000;C;;PB2-82620;M;1000-EXPOR;EXPORTAÇÃO;INAT MONT;1010;PER026;PER
PEX004;PRENSA EXENTRICA CHAPA TELHADO;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;;PEX
PEX005;PRENSA EXC.CH.TELHADO;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;INAT MONT;1010;;PEX
PEX017;PRENSA EXCENTRICA DE CORTAR FERRO CANTON;1000;F;NÍVEL 1 - FÁCIL;PB2-81190;M;1000-FABCE-CORTC;FÁBRICA CENTRAL CORTE CONVENCIONAL;MONT;1010;PEX017;PEX
PEX018;PRENSA EXCENTRICA 80 TON;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81260;M;1000-FABSL-SLPER-CHLAT1;FÁBRICA UENSILOS LINHA PER CHAPA LAT 1;AEQS INAT;1010;PEX018;PEX
PEX020;PRENSA EXCÊNTRICA T160DM PER MONTANTE 20;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER020;FÁBRICA UENSILOS LINHA PER MONTANTE 20;AEQS;1010;PER020;
PEX021;PRENSA EXCÊNTRC. DR17 200T PER C. LAT. 3;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER021;FÁBRICA UENSILOS LINHA PER CHAPA LAT 3;AEQS;1010;PER021;
PEX023;PRENSA EXCENTRICA40TON;1000;C;;PB2-81130;M;1000-FABCE-ESTAM;FÁBRICA CENTRAL ESTAMPARIA;INAT MONT;1010;;PEX
PEX028;PRENSA EXCENTRICA 5T;1000;C;;PB2-81130;M;1000-FABCE-ESTAM;FÁBRICA CENTRAL ESTAMPARIA;INAT MONT;1010;;PEX
PEX034;PRENSA EXCENTRICA 150 TON;1000;C;;PB2-81230;M;;;INAT LIDI;1010;PEX034;PEX
PEX036;PRENSA EXCENT.7,5T ANEL REF.;1000;C;;PB2-81130;M;1000-FABCE-ESTAM;FÁBRICA CENTRAL ESTAMPARIA;INAT MONT;1010;;PEX
PEX037;PRENSA EXENTRICA 130 TON - BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;PEX037;PEX
PEX038;PRENSA EXCENT.130TON.BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81530;M;1000-FABCE-TCEST;FÁBRICA CENTRAL TC ESTAMPARIA;MONT;1010;PEX038;PEX
PEX039;PRENSA EXENTRICA 130 TON - BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81190;M;1000-FABCE-CORTC;FÁBRICA CENTRAL CORTE CONVENCIONAL;MONT;1010;PEX039;PEX
PEX040;PRENSA EXENTRICA 130 TON - BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81230;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;;PEX
PEX041;PRENSA EXENTRICA 130 TON. BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81230;M;1000-FABSL-SLPER-PEX041;FÁBRICA UENSILOS LINHA PER PEX041;MONT;1010;PEX041;PEX
PEX042;PRENSA EXENTRICA 250 T PPENEIRA;1000;E;NÍVEL 4 - COMPLEXO;PB2-81120;M;1000-PUNCI;PUNCIONADEIRAS;MONT;1010;PEX042;PEX
PEX044;PRENSA EXCENTRICA 85 TON BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81190;M;1000-FABCE-CORTC;FÁBRICA CENTRAL CORTE CONVENCIONAL;MONT;1010;PEX044;PEX
PEX045;PRENSA EXCENTRICA 130 TON BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81190;M;1000-FABCE-CORTC;FÁBRICA CENTRAL CORTE CONVENCIONAL;MONT;1010;PEX044;PEX
PEX046;PRENSA EXCENTRICA 130 TON BLAUTH;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81190;M;1000-FABCE-MGEST;FÁBRICA CENTRAL MG - ESTAMPARIA;MONT;1010;PEX046;PEX
PEX047;PRENSA EXCENTRICA 85 TON BLAUTH;1000;E;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER;FÁBRICA UENSILOS SL - PERFILADOR;MONT;1010;PEX047;PEX
PEX048;PRENSA EXCENTRICA 250 TON BLAUTH;1000;E;NÍVEL 4 - COMPLEXO;PB2-81230;M;1000-FABSL-SLPER-PEX048;FÁBRICA UENSILOS LINHA PER PEX048;MONT;1010;;PEX
PEX049;PRENSA EXCENTRICA 200 TON;1000;E;NÍVEL 4 - COMPLEXO;PB2-81230;M;1000-FABSL-SLPER-PEX049;FÁBRICA UENSILOS LINHA PER PEX049;MONT;1010;PEX049;PEX
PEX121;PRENSA EXCÊNTRC. DR17 400T PER C. LAT. 3;1000;A;NÍVEL 4 - COMPLEXO;PB2-81260;M;1000-FABSL-SLPER-PER021;FÁBRICA UENSILOS LINHA PER CHAPA LAT 3;AEQS;1010;PER021;
PGV01;PUNCIONADEIRA TG 2000 CNC VERNET BEHRING;1000;C;;PB2-81130;M;;;INAT LIDI;1010;;PUN
PHE001;PRENSA ENFARDADEIRA;1000;F;;PB2-82630;M;1000-PINTU;PINTURA;MONT;1010;;
PHI002;PRENSA HIDRAULICA  FKL 4 COLUNA 400 TON;1000;F;NÍVEL 3 - DIFÍCIL;PB2-81260;M;1000-FABSL-SLPER-CHLAT1;FÁBRICA UENSILOS LINHA PER CHAPA LAT 1;AEQS INAT;1010;PHI002;PHI
PHI008;PRENSA HIDRAULICA 08;1000;A;NÍVEL 2 - MÉDIO;PB2-81630;M;1000-FABCE-ELEST;FÁBRICA CENTRAL EL ESTAMPARIA;MONT;1010;PHI008;PHI
PHI009;PRENSA HIDRAULICA;1000;F;NÍVEL 2 - MÉDIO;PB2-81140;M;1000-FABCE-USINA;FÁBRICA CENTRAL USINAGEM;MONT;1010;;PHI
